,name,location,url,followers,text,datetime,description
11,A warrior,,False,10680,"This is true face of @INCIndia  #PulwamaAttack पर बहस में एंकर ने कांग्रेस प्रवक्ता से पूछा
“कौन चोर है-इमरान खान या भारत के PM”..जवाब आया “दोनो चोर हैं”..और 
नारा सिर्फ श्री मोदी जी के ख़िलाफ़ लगाता रहा..

आखिर कांग्रेस को पाकिस्तान से इतना प्रेम क्यों??

https://t.co/WptoPdrQBb",Wed Feb 20 06:57:30 +0000 2019,"A hardcore Modi supporter , Grand daughter of a freedom fighter . SAARE JAHAN SE ACHHA HINDUSTAN HAMARA 💐🙏
SM convener, Thane (BJP Mahila Morcha)🇮🇳🌷"
12,Sunil Chaudhari,"Maharashtra, India",False,1154,"RT @Amitkalraj: बात का वक्त चला गया, ये नया भारत है घर में घुसेगा भी और मारेगा भी??? #DeshDrohiPatrakaar
#PulwamaAttack #ImranKhan https://…",Wed Feb 20 06:57:31 +0000 2019,Vande Mataram ... Aan Ban Shan Mera Aabhiman Modiji
13,sabithasab,,False,2,"Our avengers have arrived.

Abdul Rasheed, the man behind the #PulwamaAttack killed by security forces in Kashmir in more than a day-long encounter in Pulwama. Kudos! 

The nation heaves a sigh, not of relief, but of the first of many revenge stories! 

https://t.co/1id4Li9h6z",Wed Feb 20 06:57:31 +0000 2019,
14,Vikas Rana,"Himachal Pradesh , INDIA",False,1328,"शहीद तिलक राज जी की पत्नी सावित्री देवी को @jairamthakurbjp सरकार नौकरी देगी। जयराम जी ने कहा कि सरकार शहीद के परिवार को 20 लाख रुपये आर्थिक मदद भी देगी।
#PulwamaAttack https://t.co/BW4GYjDdnA",Wed Feb 20 06:57:31 +0000 2019,🔯✡A Shiv Bhakt ✡🔯~ Pahari ~
15,chetnaup,,False,26,"बड़ा गजब गाना बनाया दिल से सल्यूट गायक को रोम रोम खड़ा हो गया 🌹🌹🌹😭👌👌
#PulwamaAttack 
#RemoveArticle370 
#Bande_Matram 💐🙏 https://t.co/d8vtYlhgFE",Wed Feb 20 06:57:33 +0000 2019,
16,Gulam Mustafa,,False,95,"..और सरकार सुनिश्चित करे कि युद्ध के दौरान रक्षा-सलाहकार @yogrishiramdev भी सीमा पर ही डटे रहें, ताकि हमारे जवानों को उनसे स्वस्थ रहने की प्रेरणा मिलती रहे! https://t.co/cTKdFtjo59",Wed Feb 20 06:57:33 +0000 2019,"रूक जाना नही तू कहीं हार के, काँटों पे चल के मिलेंगे साये बहार के..........."
17,Ryan 🇮🇳,"ÜT : 22.475208,88.384439",True,108,Mehbuba Mufti ko J&amp;K ki raste main goli Mar di jaaye. Motherchod Randi ki chut faad di jai. #PulwamaAttack,Wed Feb 20 06:57:33 +0000 2019,Dreamer 🌈
18,Dharmesh,,False,1679,"RT @Mumbaiikar: UNESCO: Am i a joke to you
#PulwamaAttack https://t.co/sqfARE5zUU",Wed Feb 20 06:57:34 +0000 2019,Lets make this world a better place to live in!!!!
19,Shan-ul-Qadir 🇵🇰,"Sialkot, Pakistan",False,18796,"https://t.co/hDRntHX1Jz
My final warnings to govt, nation and army.....be ready....attack is inevitable....unless we are able to bring unbearable pressure on Modi.....
Nation and media is still in silly party mode though....🙄
#PulwamaAttack",Wed Feb 20 06:57:35 +0000 2019,Ex-Student | PTI Supporter | IK fan | Sialkoti | Love and Support for @Imrankhanpti | Gemini | #PakArmy #LongLivePakistan
20,Prabhat Sharma,,False,900,"RT @Rittuu2: यदि ऐसा हमला हुर्रियत नेताओं पर होता क्या तब भी एक और मौका देने की बात करतीं आप ???
#ImranKhan 
#PulwamaAttack https://t.co/sz…",Wed Feb 20 06:57:35 +0000 2019,
21,Gaon Ka Gwala,,False,458,"पाकिस्तान के खिलाफ डिबेट में अगर कोई कहता है कि हिंदुस्तान का प्रधानमंत्री चोर है, अपनी राजनीतिक रोटियां सेकता है तो उसकी मानसिक स्थिति का अंदाजा लगाया जा सकता है । https://t.co/eFwFZvlJNj",Wed Feb 20 06:57:36 +0000 2019,"I m @proudIndian @ProudHindu, still hope for खुशहाल भारत समृद्ध भारत"
22,Amit Verma,,False,77,"जिंदाबाद-मुर्दाबाद से फुर्सत मिल जाए तो शहीद अर्द्धसैनिक बलों के आश्रितों के लिए #पेंशन और #नौकरी के लिए भी आवाज़ उठाना मितरो।
#पुरानी_पेंशन_बहाल_करो 
#noPension_noVote 
#PulwamaAttack 
#ModiFor2019 
@NmopsInd @narendramodi @Narendramodi_PM @arunjaitley @PMOIndia @nitin_gadkari",Wed Feb 20 06:57:37 +0000 2019,
23,#Namo again.,"Bengaluru, India",False,1351,"RT @Amitkalraj: बात का वक्त चला गया, ये नया भारत है घर में घुसेगा भी और मारेगा भी??? #DeshDrohiPatrakaar
#PulwamaAttack #ImranKhan https://…",Wed Feb 20 06:57:37 +0000 2019,"⛳राष्ट्र-हित🇮🇳सर्वोपरि🇮🇳|🌹|#शिव-भक्त #|🌹|🔥|NAMO|🔥|♨️NAMO### ♨️
⛳♨️🕉️💧जय🔥महाकाल💧🕉️♨️⛳♨️
    🌍जय♨️हिन्द🔥वन्दे🔥मातरम् 🌏🌾🌾🙏🌾🌾"
24,शशि  🌠Ykm🌠 🇮🇳,🇮🇳,True,5232,"क्या बात है उंगली बहन..अबकी बार खुद के गले मे तख्ती नही टांगी तो 2-2 रु के भाड़े पर इन छोरियों के गले मे टँगवा दी...

एक तरफ इन सुअरो के पाले हुए पिल्लों ने कायराना हमले में हमारे जवानों की जाने ले ली,दूसरी तरफ तू दोस्ती का दम्भ भर रही है,थू!!#PulwamaAttack https://t.co/yfV2qHL746",Wed Feb 20 06:57:37 +0000 2019,संघी!! राष्ट्रवादी!! हिंदूवादी!! भारत माता की जय!!
25,kundan mishra 🇮🇳,new delhi,False,88,"Bhart is biggest Cement Importer from Pak.

May be a similar consignment like this was trespassed into Bharatiya territory to make #PulwamaAttack &amp; it was delivered to Terrorists through madarsa students. https://t.co/UjYOBDU1IJ",Wed Feb 20 06:57:37 +0000 2019,simple and love to be like that in any circumstances
26,Sun News,"Chennai, India",True,275852,"நியூசிலாந்து துணை பிரதமர் வின்ஸ்டன் கண்டன தீர்மானத்தை தாக்கல் செய்தார் 

#NewZealand #PulwamaAttack #sunnews https://t.co/jM9aiYT3Au",Wed Feb 20 06:57:38 +0000 2019,"Welcome to Sun News, The Tamil News Channel from Sun TV Network."
27,@.@.@bhinandan,,False,160,इससे साबित हो रहा है कि #PulwamaAttack से ध्यान हटाने की लिए आंटी ने सोच समझ कर ट्विटर पर रायता फैलाया है। कल से 80k ट्वीट बरखा को लेकर हो चुके हैं। https://t.co/SQGFVKid2W,Wed Feb 20 06:57:39 +0000 2019,
28,Satish Verma,"Bihar, India",False,36,Imran Khan was silent for five days after the #PulwamaAttack. When he spoke there as no mention of Jaish or Masood Azhar. We break it down on #DemocracyLive on @NewsHtn https://t.co/YNtaH3tCda,Wed Feb 20 06:57:39 +0000 2019,Student
29,Peeyush Rohilla ♏,"Ghaziabad, India",True,643,"RT @Vageesh_rohilla: #PulwamaAttack #BoycottKapilSharmaShow #BoycottSidhu #Boycottsonytv
#boycottmehboobaMufti https://t.co/JeQ7Lo7Cim",Wed Feb 20 06:57:40 +0000 2019,"Hindu Rashtrawadi🚩, NaMo fan🇮🇳, Traveller🌏, Music Lover🎵 and RSS follower भारत माता की जय 🙏 followed by @piyushgoyaloffc 
🔄 Follow back 🔄"
30,sumit mozika,,False,27,"Yesterday when in a #PulwamaAttack debate..the Congress Spokie was asked by the anchor “कौन चोर है-इमरान खान या भारत के PM” ..जवाब आया “दोनो चोर हैं” ..और नारा पाकिस्तान के ख़िलाफ़ नहीं श्री मोदी जी के ख़िलाफ़ लगातार लगाता रहा ..
Objecting to this I left the debate
Audacious !! https://t.co/cVRPLLpqco",Wed Feb 20 06:57:40 +0000 2019,
31,Ravi Kumar chaurasia,"Bihar, India",False,302,#PulwamaAttack #Kashmir #StonePelters #hurriyatsecuritysnatched #कश्मीर समस्या और #पुलवामा_आतंकी_हमला @ashokepandit @ShabnamHashmi @rpbreakingnews @PMOIndia @rajnathsingh https://t.co/bOiuSVV4CB,Wed Feb 20 06:57:40 +0000 2019,west champaran
32,Bitcoin Gp,,False,81,"All those in India who feted @ImranKhanPTI for years, even when his #Islamist ideology was evident, must feel foolish after hearing him speak on #PulwamaAttack yesterday. “Im the dim” isn’t just dim, nor just a Pak army pawn, but a crude fundamentalist #TalibanKhan",Wed Feb 20 06:57:41 +0000 2019,RTs= Entertainment not Endorsements. Investment tweets = Educational and also for entertainment. #Cryptos #Business
33,Vedhika Srivastava,,False,0,#PulwamaAttack,Wed Feb 20 06:57:43 +0000 2019,
34,jainarayan,"भोपाल, भारत",False,14,"Yesterday when in a #PulwamaAttack debate..the Congress Spokie was asked by the anchor “कौन चोर है-इमरान खान या भारत के PM” ..जवाब आया “दोनो चोर हैं” ..और नारा पाकिस्तान के ख़िलाफ़ नहीं श्री मोदी जी के ख़िलाफ़ लगातार लगाता रहा ..
Objecting to this I left the debate
Audacious !! https://t.co/cVRPLLpqco",Wed Feb 20 06:57:43 +0000 2019,
35,🔱Sandip Saha🔱,"Silchar, India",False,67,RIP to all the martyrs of pulwama attack.  #PulwamaAttack #Pulwama #PulwamaTerrorAttack #CRPFJawans #CRPF #PKMBK,Wed Feb 20 06:57:45 +0000 2019,"#Alphamale🔱
#Foodie 🍜
#Music 🎼
#Wanderer 🖼
#IndianBong 🇮🇳
#Barca ❤
#DogLover 🐕
#LoveSuits 👔
#Humaitarian ☮
#Piscean ♓
#Connoisseur 🖌🖼"
36,Yash,,False,7,"Fun quiz #3 

How many movies @iamsrk and @KajolAtUN done together in a lead role? #SRK #shahrukhkhan… https://t.co/GGK2SamvpW",Wed Feb 20 06:57:45 +0000 2019,"A Proud INDIAN, a Fan and a motivational. 
I will tweet whatever I want, no one can judge me."
37,Tasnim,,False,9041,"पुलवामा आतंकी हमले में सीआरपीएफ के 50 के करीब जवान शहीद होते हैं। सऊदी अरब के राजकुमार पाकिस्तान जाते हैं और वहां *20 अरब डॉलर* देकर आते हैं। और हमारे प्रधानमंत्री सारे नियमों को तोड़कर राजकुमार से गले मिलने हवाई अड्डे पहुंच जाते हैं।

#PulwamaAttack https://t.co/EvMW6w6FLA",Wed Feb 20 06:57:45 +0000 2019,AIMC social media co-ordinator Gujrat State
38,Che Guevara,"Bengaluru, India",False,214,"Post the deadly suicide bombing at #Pulwama in Jammu &amp; Kashmir, where 40 #CRPF personnel lost their lives, there are several images, videos and messages that have been posted on social media. BOOM’s reporters have fact checked several of them. See the thread below",Wed Feb 20 06:57:46 +0000 2019,"दुनियादारी की चादर ओढ़ी है।
पर जिस दिन दिमाग सटका ना,
इतिहास तो इतिहास।
भूगोल भी बदल देंगे।"
39,IdrKyn,,False,63,"India Want the war with country which is above in the rank in nuclear power then india 
 
Dear india I warn you if you come we will break your bones and you will pay more then Pulwama 💪💪💪💪
Pakistan zindabad💪💪💪💪
#pakistan #India  #PulwamaAttack https://t.co/vnQRKb9ZBa",Wed Feb 20 06:57:47 +0000 2019,
40,Safran Nasir,"Islamabad, Pakistan",False,934,"پاکستان دشمنی میں بھارتی میڈیا سنسنی پھیلا رہا ہےاوراپنےآپ کو دھوکا دے رہا، مزید جانیےاس ویڈیو میں 
#DunyaPrograms  @nuqtaenazar
@pmln_org @PTIofficial @MediaCellPPP
#India #Hoax #PulwamaAttack https://t.co/oihx1dSWzn",Wed Feb 20 06:57:47 +0000 2019,"Islamabad.....Dubai...
Media....
Proud to be a Pakistani..#voice of truth...
pak army zindabad.."
41,Ummed Bhuria,India,False,167,"वरिष्ठ देश भक्त पार्टी #कांग्रेस के नेता #दिग्विजय सिंह 👇
एक #सैनिक का 'सम्मान करते हुए 👇
#ExposeDeshDrohis
#PulwamaAttack https://t.co/qrfpkoLMjg",Wed Feb 20 06:57:47 +0000 2019,"A business and finance professional. गंदी राजनीति से परे! राष्ट्रीय हित सर्वोपरी! देशद्रोही दूर रहे!
Team of #indiafirst"
42,यूपी वाला धींगरा,Bharat,False,439,"Yesterday when in a #PulwamaAttack debate..the Congress Spokie was asked by the anchor “कौन चोर है-इमरान खान या भारत के PM” ..जवाब आया “दोनो चोर हैं” ..और नारा पाकिस्तान के ख़िलाफ़ नहीं श्री मोदी जी के ख़िलाफ़ लगातार लगाता रहा ..
Objecting to this I left the debate
Audacious !! https://t.co/cVRPLLpqco",Wed Feb 20 06:57:48 +0000 2019,"Nationalist,Right Wing
,Tea Lover , Civil Engineer #htl
ट्वीट like में,
और हाँ हमे जवाब देने की
इत्ती भयंकर आदत है कि
हमारे स्टेट का नाम ही उत्तर प्रदेश है😝"
43,Agastya Chandrakant,"Mysore, India",True,352,"अतिथिदेवो भव

You are not defeated when innocent lives are killed.
You are defeated when you fall to the level of t… https://t.co/9OjaIPyoDL",Wed Feb 20 06:57:49 +0000 2019,"20, 🇮🇳, English @wikinews editor + reviewer 🏳️‍🌈 http://t.me/acagastya"
44,KUNNAL SINGH,"Jammu, India.",False,43,"RT @ZeeNews: Pakistan Army asks #MasoodAzhar and #hafizsaeed to lay low over #Pulwamaattack aftermath: Sources 

https://t.co/kEtqN96zFm",Wed Feb 20 06:57:49 +0000 2019,
45,Tivendra Singh,,False,610,"पुलवामा अटैक होने के बाद, पाकिस्तान को 2 billion डॉलर मदद करने वाले राजकुमार को स्वागत करने पहुचे मोदी जी मुस्कुराहट तो देखिए जैसे जवान के शहादत का बदला पाकिस्तान से ले लिया हो
कल पाकिस्तान में आज इंडिया में 
खेल तो समझ आ ही गया होगा दोस्तो
#MBSFundsTerrorists 
#PulwamaAttack https://t.co/DbP6M9AWRI",Wed Feb 20 06:57:50 +0000 2019,
46,Raghvendra Singh,Chandausi  (Sambhal),False,24,Pagla gye hn sb,Wed Feb 20 06:57:51 +0000 2019,
47,Ketan Panchal,"Surat, Gujarat",True,2630,What is this Gurugram University? Never heard of it.,Wed Feb 20 06:57:51 +0000 2019,Your friendly neighborhood Devil's Advocate practicing at a kangaroo court near you. [*No kangaroos were heard in the making of this bio].
48,Chetan Anand,"मोतिहारी, भारत",False,86,"रोंगटे खड़े हैंमेरे 
शरीर पर थरथरीहै
#PulwamaAttack नहींसाहब
क़यामतकी घड़ीहै
बड़बोली सरकार क्यूँ
अभीतक ठगी खड़ीहै
अबतक श्रेय लिया सेनाका
मोहरा बनादी उनकी #जान
आख़िर कबतक सीमापर यूहीं
मरतेरहेंगे मासूम #जवान
56कीछाती सेकभी कामभी लेले ढंग कातू
एकके बदले दस नहींतो एकही लादेजल्दसेतू",Wed Feb 20 06:57:51 +0000 2019,
49,🌹मासूम बच्चा😘💞😂,"Jalor, India",False,12109,"@abpnewshindi मौना आलम के मानने या ना मानने से कुछ नहीं होगा रूबिका बहिन। पुरा संसार जानता है कि #PulwamaAttack जैश ए मोहम्मद आंतकी संगठन ने करवाया है जो बहावलपुर पाक से संचालित है, फिर क्या उखाड़ लिया हमने? हमें पाकिस्तानियों की बकवास नहीं सुननी, अगर आपको बात करने का शौंक है तो फोन पर कर लो।",Wed Feb 20 06:57:51 +0000 2019,"🌹रॉयल राजस्थानी हूं☺️

😍♨️♨️♨️♨️
tweets likes ❤️ में"
50,Avichal Mishra🇮🇳,"New Delhi, India",True,9706,"क्या बात है उंगली बहन..अबकी बार खुद के गले मे तख्ती नही टांगी तो 2-2 रु के भाड़े पर इन छोरियों के गले मे टँगवा दी...

एक तरफ इन सुअरो के पाले हुए पिल्लों ने कायराना हमले में हमारे जवानों की जाने ले ली,दूसरी तरफ तू दोस्ती का दम्भ भर रही है,थू!!#PulwamaAttack https://t.co/yfV2qHL746",Wed Feb 20 06:57:51 +0000 2019,"लाख बाधायें हों राहों में, एक मज़बूत भविष्य गढ़ना होगा...✍"
51,Arjun Murugan,"Tamil Nadu, India",False,15,"Are we really worth???
You made me thinking @CinemaInMyJeans
@fully_yt
 #PulwamaAttack #Pulawama #CRPF… https://t.co/GfrmrTAIeW",Wed Feb 20 06:57:51 +0000 2019,What you seek is seeking you..!
52,Mukund singh,"Bihar, Patna (Begusarai)",False,5626,"Yesterday when in a #PulwamaAttack debate..the Congress Spokie was asked by the anchor “कौन चोर है-इमरान खान या भारत के PM” ..जवाब आया “दोनो चोर हैं” ..और नारा पाकिस्तान के ख़िलाफ़ नहीं श्री मोदी जी के ख़िलाफ़ लगातार लगाता रहा ..
Objecting to this I left the debate
Audacious !! https://t.co/cVRPLLpqco",Wed Feb 20 06:57:52 +0000 2019,🚩🚩#hindu_nationalist🚩🚩my tweets in my likes       #RED
53,Zeeshan,"Dera Ismail Khan, Pakistan",False,136,"بھارت کی ہوا نکل گئی
دوسروں کو دھمکیاں دینے والا بھارت کا میڈیا پاک فوج کے گُن گانے لگا ہے۔
ویڈیو کو زیادہ سے زیادہ ریٹویٹ کریں
#PulwamaAttack #PulwamaDrama https://t.co/40P7CBptBz",Wed Feb 20 06:57:52 +0000 2019,"Idealist, fan of Iqbal and Sufism,"
54,Gulam Mustafa,,False,95,"5 days after #PulwamaAttack, Pakistan PM @ImranKhanPTI asks for ""actionable intelligence"" to act against culprits even after Masood Azhar, a terrorist sitting in his own backyard, has publicly taken responsiblity!

Ye #NayaPakistan nahi, #NapakPakistan hai https://t.co/0Va5nhaEsw",Wed Feb 20 06:57:52 +0000 2019,"रूक जाना नही तू कहीं हार के, काँटों पे चल के मिलेंगे साये बहार के..........."
55,IndiaFirst,,False,3876,"जब लेनी थी टक्कर तब लेकर आ गए शक्कर..
जब बंद करना था पानी तब खा के आ गए बिरयानी..
अब करनी है ठुकाई तो साहब लेंगे विदाई..
बोलो सरारररा...
#BikaooBollywood #PulwamaAttack #OperationKaraoke #चोकीदार_कमज़ोर_है #BanEVM #BallotLaoModiBhagao",Wed Feb 20 06:57:52 +0000 2019,"Be the change you want to see . Agnostic. No DMs.
RTs not endorsement.
Abusers will be blocked."
56,Roshni Chatarjee,,False,469,"All those in India who feted @ImranKhanPTI for years, even when his #Islamist ideology was evident, must feel foolish after hearing him speak on #PulwamaAttack yesterday. “Im the dim” isn’t just dim, nor just a Pak army pawn, but a crude fundamentalist #TalibanKhan",Wed Feb 20 06:57:53 +0000 2019,
57,Pankaj Jha,"Madhepur, Bihar",False,151,"So Saudi crown prince promises $20Billion to Pakistan a day after #PulwamaAttack and this is the welcome our brave PM gives him - breaks protocol to welcome him. 

Will the real anti-national please stand up? #WahModijiWah https://t.co/2zIOrY8Jdj",Wed Feb 20 06:57:53 +0000 2019,
58,🌹मासूम बच्चा😘💞😂,"Jalor, India",False,12109,RT @iambansi007: @ZubinaAhmd असली कश्मीरी कौन है? #TerroristNationPakistan #ImranNervousRant #ImranKhan #PulwamaAttack,Wed Feb 20 06:57:53 +0000 2019,"🌹रॉयल राजस्थानी हूं☺️

😍♨️♨️♨️♨️
tweets likes ❤️ में"
59,ABP News,India,True,8105768,"@UN  Secretary General urges India, Pakistan to exercise maximum restraint, de-escalate tension post #PulwamaAttack… https://t.co/JiapzaPNK6",Wed Feb 20 06:57:54 +0000 2019,Follow for latest news alerts from India
60,Yuvi,,False,119,"#DowryManNtr
Jr.NTR is the only Actor who married minor for dowry &amp; who didn't tweet on #PulwamaAttack

RT if u agree
Add this Tag too 👇 #BoycottJamalathBhashaNTR 
 
#DowryManNtr https://t.co/ILB5LSDG1h",Wed Feb 20 06:57:54 +0000 2019,"huge fan of mahesh babu and salman khan  favourites are nag, naga chaithanya, prabhas, allu arjun"
61,Sangam Singh,"Pune, India",False,36,"Then why does your committee celebrated killing of 72 CRPF martyred in dantewada??
Reality is you have no emotion f… https://t.co/FjQMC6fthP",Wed Feb 20 06:57:55 +0000 2019,"Sadguru bhakt,Nationalist at heart"
62,Jadav Shubham,"Bharuch, India",False,35,👌🏻,Wed Feb 20 06:57:55 +0000 2019,"WWE ✌️
Roman Empire 💪
BIGBOSS 👌
MCA 💻"
63,ज्योति श्रीवास्तव🇮🇳🚩🚩,हिन्दू राष्ट्रे,False,3842,"This is true face of @INCIndia  #PulwamaAttack पर बहस में एंकर ने कांग्रेस प्रवक्ता से पूछा
“कौन चोर है-इमरान खान या भारत के PM”..जवाब आया “दोनो चोर हैं”..और 
नारा सिर्फ श्री मोदी जी के ख़िलाफ़ लगाता रहा..

आखिर कांग्रेस को पाकिस्तान से इतना प्रेम क्यों??

https://t.co/WptoPdrQBb",Wed Feb 20 06:57:56 +0000 2019,"पापा की परी हूँ, और देशभक्त भी 

मेरे TWEET ज्यादा भारी होते हैं, अगर संभाल सको तभी फॉलो करना

#ModiFor2019 

   Tweet अच्छे लगें तो RT करके औरों तक भी पहुँचाएँ"
64,Nitish raaj sunny,Patna,True,240,"पाकिस्तान के खिलाफ डिबेट में अगर कोई कहता है कि हिंदुस्तान का प्रधानमंत्री चोर है, अपनी राजनीतिक रोटियां सेकता है तो उसकी मानसिक स्थिति का अंदाजा लगाया जा सकता है । https://t.co/eFwFZvlJNj",Wed Feb 20 06:57:57 +0000 2019,"Born Nov.1st
Be real with me
Cricket Lover
Music Lover
Loyalty Is Important for me
Believe In Magical Sparks"
65,dimpal bhaiya 🇮🇳🇮🇱,India ,False,412,"पाकिस्तान के खिलाफ डिबेट में अगर कोई कहता है कि हिंदुस्तान का प्रधानमंत्री चोर है, अपनी राजनीतिक रोटियां सेकता है तो उसकी मानसिक स्थिति का अंदाजा लगाया जा सकता है । https://t.co/eFwFZvlJNj",Wed Feb 20 06:57:58 +0000 2019,"‘The land of white tigers' अधिवक्ता,उच्च न्यायालय,जबलपुर(म.प्र)।हिन्दू विचारधारा।"
66,VINOTHKUMAR.K,,False,49,"#PulwamaAttack தாக்குதலில் பலியான 40 சிஆர்பிஎப் வீரர்களில் 23 பேர் வாங்கியிருந்த கடனை தள்ளுபடி செய்வதாக பாரத ஸ்டேட் வங்கி அறிவித்துள்ளது.

மேலும், அந்த 23 வீரர்களின் குடும்பத்தினருக்கு தலா 30 லட்சம் ரூபாய் மதிப்பிலான காப்பீட்டு தொகையையும் உடனடியாக வழங்க SBI உத்தரவிட்டுள்ளது.",Wed Feb 20 06:57:59 +0000 2019,"நான் ஹிந்து என் மூதாதையர்கள் ஹிந்து.என் மகன் என் வம்சம் ஹிந்து.காசுக்காக,உ‌யி‌ர் பயத்திற்காக மதம் மாறியவர்கள் நாங்கள் இல்லை.அனைவரும் சமம்.சனாதன தர்மம் காப்போம்."
67,Jay®,भारत माता की जय,False,123308,"क्या बात है उंगली बहन..अबकी बार खुद के गले मे तख्ती नही टांगी तो 2-2 रु के भाड़े पर इन छोरियों के गले मे टँगवा दी...

एक तरफ इन सुअरो के पाले हुए पिल्लों ने कायराना हमले में हमारे जवानों की जाने ले ली,दूसरी तरफ तू दोस्ती का दम्भ भर रही है,थू!!#PulwamaAttack https://t.co/yfV2qHL746",Wed Feb 20 06:57:59 +0000 2019,RW★Un-Apologetic ★Intolerant★ Communal-Hindu★Allergic To Aaptards & Sickulars ★ Tweets Without Prejudice★
68,Cinevinodam.com,Hyderabad,False,116,RT @ActorRahulVijay: #PulwamaAttack #IndianArmyOurPride #indianArmy #JaiHind 🇮🇳✊🏼 https://t.co/xdTQf128qB,Wed Feb 20 06:58:00 +0000 2019,Popular Telugu Cinema Website  from Hyderabad. India
